Data,Precipitacao,TempMaxima,TempMinima,Temp Comp Media
01/01/2012,14.4,26,17.8,21.04
02/01/2012,7.4,28.2,20.1,22.68
03/01/2012,0,30.7,17.4,23.32
04/01/2012,0,29,18.2,22.12
05/01/2012,0,28.7,17.4,22.74
06/01/2012,0,32.3,19.5,25.26
07/01/2012,0,30.4,21.3,24.84
08/01/2012,0,34.2,21.2,26.16
09/01/2012,0,35.5,21.6,27.18
10/01/2012,0,32.3,21,26.02
11/01/2012,0,37,22.4,28.34
12/01/2012,0.2,33.4,23.2,26.38
13/01/2012,29.8,24.2,20.8,22.2
14/01/2012,39.3,22,20,20.68
15/01/2012,40.9,28.6,19.2,22.64
16/01/2012,0,30.8,18,23.6
17/01/2012,0,30.1,19.6,24.2
18/01/2012,0,30.1,20.9,24.6
19/01/2012,0,33,19.6,25.28
20/01/2012,0,33.4,20.3,26.38
21/01/2012,0,33.5,22.5,27.04
22/01/2012,0,35.1,22.2,28.26
23/01/2012,0,36.8,24.3,29.84
24/01/2012,0,35.2,25.4,28.24
25/01/2012,33,29.4,22,24.1
26/01/2012,0.8,28.8,18.1,22.76
27/01/2012,0.2,27.9,17.6,22.14
28/01/2012,0,28.9,18.2,22.9
29/01/2012,0,31.8,17.8,23.88
30/01/2012,0,34.9,18.3,25.6
31/01/2012,0,36.6,19.2,27.22
01/02/2012,0,34.4,20.9,26.72
02/02/2012,0,35.2,22.2,27.28
03/02/2012,1.6,36.2,24.4,28.6
04/02/2012,0.1,36.1,23.6,26.74
05/02/2012,4.9,35.7,23.5,27
06/02/2012,10.7,31.7,24.6,26.36
07/02/2012,0.5,32.4,24,27.3
08/02/2012,0,36.5,22.8,27.98
09/02/2012,9.6,30,22.7,25.08
10/02/2012,0,29.3,22,24.18
11/02/2012,0.3,29.4,18.6,23.52
12/02/2012,0,31.9,18.1,24.08
13/02/2012,0,33.3,19,25.18
14/02/2012,0,36,20.5,27.6
15/02/2012,0,36.6,23.2,29.48
16/02/2012,0,36.9,25.8,29.74
17/02/2012,0,37,24.4,29.7
18/02/2012,0,37.5,24.1,30.3
19/02/2012,0,39,24.2,28.36
20/02/2012,17.3,35.1,23,28.56
21/02/2012,0,34.9,23.4,27.02
22/02/2012,79,28.5,22.7,24.26
23/02/2012,6.5,32,21.4,26.32
24/02/2012,0,30.2,22.9,25.02
25/02/2012,0,25.8,21.4,22.98
26/02/2012,9,32,21.4,25.38
27/02/2012,0,31.1,19,24.34
28/02/2012,0,33.9,21.2,26.64
29/02/2012,0,35,21.7,25.6
01/03/2012,34.9,28.6,21.8,25.06
02/03/2012,2.1,28.8,21,23.56
03/03/2012,0,30,19,23.76
04/03/2012,0,34.8,19.6,26.02
05/03/2012,0,35.3,21.2,27.32
06/03/2012,0,36.2,21.8,27.5
07/03/2012,0.2,36.5,20.4,27.06
08/03/2012,0,33.3,21.9,26.62
09/03/2012,0,32,22,25.74
10/03/2012,0,34.4,20.4,27.24
11/03/2012,0,37,22.6,27.84
12/03/2012,0,37.1,21.8,29.42
13/03/2012,0,35.9,24.1,27.48
14/03/2012,21.3,25.2,22.1,22.86
15/03/2012,59.4,26.6,19.6,21.32
16/03/2012,0,28.9,15.6,21.88
17/03/2012,0,29.6,18.5,23.2
18/03/2012,0,32.2,18,23.8
19/03/2012,0,32.6,18,24.84
20/03/2012,0,32.9,19,24.54
21/03/2012,0,26.4,19.3,23.08
22/03/2012,0.7,28.5,19.7,22.8
23/03/2012,0.3,26.7,17.8,20.9
24/03/2012,2.2,27.3,17.2,20.86
25/03/2012,0,27.4,15.5,20.82
26/03/2012,0,28.4,16.8,21.42
27/03/2012,1.6,22.7,17,18.38
